Date,Total Revenue,Gross Profit,Net Income,Company,Ticker,Year,Total Revenue_Billions,Gross Profit_Billions,Net Income_Billions,Revenue_Growth_Pct
2022-12-31,424060635000.0,72244955000.0,16622448000.0,BYD,BYDDY,2022,424.060635,72.244955,16.622448,
2023-12-31,602315354000.0,111916409000.0,30040811000.0,BYD,BYDDY,2023,602.315354,111.916409,30.040811,42.03519598087666
2024-12-31,777102455000.0,151055839000.0,40254346000.0,BYD,BYDDY,2024,777.102455,151.055839,40.254346,29.01920062957586
2025-12-31,803964958000.0,142659797000.0,32619022000.0,BYD,BYDDY,2025,803.964958,142.659797,32.619022,3.4567517869957154
2022-12-31,81462000000.0,20853000000.0,12583000000.0,Tesla,TSLA,2022,81.462,20.853,12.583,
2023-12-31,96773000000.0,17660000000.0,14999000000.0,Tesla,TSLA,2023,96.773,17.66,14.999,18.79526650462793
2024-12-31,97690000000.0,17450000000.0,7130000000.0,Tesla,TSLA,2024,97.69,17.45,7.13,0.9475783534663496
2025-12-31,94827000000.0,17094000000.0,3794000000.0,Tesla,TSLA,2025,94.827,17.094,3.794,-2.930699150373628
2022-12-31,279050000000.0,52184000000.0,15457000000.0,Volkswagen,VWAGY,2022,279.05,52.184,15.457,
2023-12-31,322284000000.0,60985000000.0,16532000000.0,Volkswagen,VWAGY,2023,322.284,60.985,16.532,15.49328077405483
2024-12-31,324655000000.0,59471000000.0,11351000000.0,Volkswagen,VWAGY,2024,324.655,59.471,11.351,0.7356865373397303
2025-12-31,321913000000.0,51242000000.0,7323000000.0,Volkswagen,VWAGY,2025,321.913,51.242,7.323,-0.8445888712633409
