Country,Country_Code,Year,Plug-in hybrid,Battery-electric
Australia,AUS,2012,0.00928,0.01972
Australia,AUS,2013,0.01137931,0.02162069
Australia,AUS,2014,0.10795455,0.04204545
Australia,AUS,2015,0.10795455,0.08204545
Australia,AUS,2016,0.07664234,0.07335766
Australia,AUS,2017,0.11956522,0.13043478
Australia,AUS,2018,0.205,0.205
Australia,AUS,2019,0.37826088,0.82173914
Australia,AUS,2020,0.27101448,0.8289855
Australia,AUS,2021,0.46666667,2.3333333
Australia,AUS,2022,0.7583548,4.2416453
Australia,AUS,2023,1.3469387,10.653061
Australia,AUS,2024,2.4375,10.5625
Austria,AUT,2015,0.35357144,0.54642856
Austria,AUT,2016,0.36,1.14
Austria,AUT,2017,0.47887325,1.5211267
Austria,AUT,2018,0.6571429,1.9428571
Austria,AUT,2019,0.6695652,2.8304348
Austria,AUT,2020,3.059322,6.440678
Austria,AUT,2021,6.25,13.75
Austria,AUT,2022,6.0851064,15.914893
Austria,AUT,2023,7.0615387,19.938461
Austria,AUT,2024,6.580645,17.419355
Belgium,BEL,2010,0.00142857,0.00857143
Belgium,BEL,2011,0.00281081,0.04918919
Belgium,BEL,2012,0.07098901,0.11901099
Belgium,BEL,2013,0.01178571,0.09821429
Belgium,BEL,2014,0.13666667,0.27333334
Belgium,BEL,2015,0.4871795,0.2728205
Belgium,BEL,2016,1.3119565,0.3880435
Belgium,BEL,2017,2.122449,0.477551
Belgium,BEL,2018,1.7454545,0.6545454
Belgium,BEL,2019,1.6090395,1.5909605
Belgium,BEL,2020,7.489362,3.5106382
Belgium,BEL,2021,12.169014,5.830986
Belgium,BEL,2022,15.814433,10.185567
Belgium,BEL,2023,21.243523,19.756477
Belgium,BEL,2024,14.624366,28.375635
Brazil,BRA,2012,0.000585,0.000715
Brazil,BRA,2013,0.0011,0.0013
Brazil,BRA,2015,0.00132135,0.00287865
Brazil,BRA,2016,0.0029209,0.0080791
Brazil,BRA,2017,0.01551163,0.00748837
Brazil,BRA,2018,0.01121951,0.00878049
Brazil,BRA,2019,0.06061856,0.02338144
Brazil,BRA,2020,0.11076923,0.04923077
Brazil,BRA,2021,0.72805756,0.19194245
Brazil,BRA,2022,0.6486487,0.55135137
Brazil,BRA,2023,1.9038461,1.0961539
Brazil,BRA,2024,3.2256,3.1744
Canada,CAN,2011,0.02365385,0.01734615
Canada,CAN,2012,0.09479167,0.04520833
Canada,CAN,2013,0.10645161,0.11354839
Canada,CAN,2014,0.15784314,0.19215687
Canada,CAN,2015,0.15882353,0.29117647
Canada,CAN,2016,0.41931033,0.34068966
Canada,CAN,2017,0.47904193,0.52095807
Canada,CAN,2018,1.3363637,1.4636364
Canada,CAN,2019,1.2666667,2.1333334
Canada,CAN,2020,1.1529412,3.0470588
Canada,CAN,2021,2.05977,4.34023
Canada,CAN,2022,1.9826087,7.517391
Canada,CAN,2023,3.116959,9.883041
Canada,CAN,2024,4.1825395,12.81746
Chile,CHL,2014,0.00582105,0.00207895
Chile,CHL,2015,0.01213889,0.00686111
Chile,CHL,2016,0.00435484,0.01064516
Chile,CHL,2017,0.00711111,0.05688889
Chile,CHL,2018,0.02747475,0.05252525
Chile,CHL,2019,0.03901639,0.10098361
Chile,CHL,2020,0.06610879,0.13389121
Chile,CHL,2021,0.10116279,0.18883722
Chile,CHL,2022,0.15932202,0.44067797
Chile,CHL,2023,0.18127961,0.5687204
Chile,CHL,2024,0.4125,1.6875
China,CHN,2010,0.00236111,0.00763889
China,CHN,2011,0.002125,0.031875
China,CHN,2012,0.00192495,0.07107505
China,CHN,2013,0.00440877,0.09059123
China,CHN,2014,0.13150685,0.26849315
China,CHN,2015,0.28909954,0.7109005
China,CHN,2016,0.34955752,1.1504425
China,CHN,2017,0.45517242,1.9448276
China,CHN,2018,1.1642202,3.5357797
China,CHN,2019,1.0849056,3.9150944
China,CHN,2020,1.1,4.6
China,CHN,2021,2.5384614,12.461538
China,CHN,2022,7.37,21.62712
China,CHN,2023,12.666667,25.333334
China,CHN,2024,20.81416,27.18584
Denmark,DNK,2011,0.00118483,0.24881516
Denmark,DNK,2012,0.00693227,0.28306773
Denmark,DNK,2013,0.0054902,0.2745098
Denmark,DNK,2014,0.04846154,0.86153847
Denmark,DNK,2015,0.20466103,2.095339
Denmark,DNK,2016,0.25604278,0.5839572
Denmark,DNK,2017,0.27969924,0.32030076
