Date,electric car,hybrid car,EV charging,Tesla
2018-01-01,10,3,1,34
2018-02-01,10,3,1,50
2018-03-01,10,3,1,37
2018-04-01,9,3,1,34
2018-05-01,8,2,1,34
2018-06-01,9,2,1,31
2018-07-01,10,3,1,31
2018-08-01,10,3,1,38
2018-09-01,13,3,1,41
2018-10-01,14,3,1,38
2018-11-01,12,2,1,30
2018-12-01,10,2,1,29
2019-01-01,13,4,1,33
2019-02-01,14,4,1,31
2019-03-01,14,4,1,47
2019-04-01,15,4,1,39
2019-05-01,16,4,1,45
2019-06-01,17,4,1,46
2019-07-01,19,3,1,50
2019-08-01,17,3,1,43
2019-09-01,16,4,1,44
2019-10-01,19,4,1,46
2019-11-01,18,3,1,78
2019-12-01,19,3,1,54
2020-01-01,23,5,2,69
2020-02-01,28,5,2,77
2020-03-01,15,3,1,51
2020-04-01,10,1,1,41
2020-05-01,13,2,1,51
2020-06-01,17,4,1,54
2020-07-01,19,4,2,79
2020-08-01,21,4,2,71
2020-09-01,21,4,2,100
2020-10-01,21,3,2,69
2020-11-01,25,3,2,64
2020-12-01,21,3,2,74
2021-01-01,21,4,2,90
2021-02-01,25,4,2,86
2021-03-01,26,4,2,85
2021-04-01,27,4,2,76
2021-05-01,28,5,3,77
2021-06-01,28,5,3,66
2021-07-01,33,5,3,63
2021-08-01,32,6,4,65
2021-09-01,36,5,4,64
2021-10-01,42,5,4,82
2021-11-01,39,5,4,85
2021-12-01,29,4,4,73
2022-01-01,36,6,5,86
2022-02-01,34,7,5,76
2022-03-01,46,7,6,89
2022-04-01,40,6,5,90
2022-05-01,34,5,5,80
2022-06-01,47,6,6,81
2022-07-01,37,6,5,68
2022-08-01,35,6,5,73
2022-09-01,30,5,5,62
2022-10-01,30,5,5,68
2022-11-01,28,4,5,64
2022-12-01,27,4,5,79
2023-01-01,31,6,5,89
2023-02-01,27,6,5,72
2023-03-01,28,6,6,69
2023-04-01,27,5,6,71
2023-05-01,26,5,5,63
2023-06-01,30,5,6,72
2023-07-01,29,6,6,71
2023-08-01,29,5,6,65
2023-09-01,30,5,6,68
2023-10-01,28,5,6,63
2023-11-01,25,4,6,63
2023-12-01,25,5,5,66
2024-01-01,27,5,6,66
2024-02-01,27,6,6,66
2024-03-01,27,5,7,69
2024-04-01,25,5,6,73
2024-05-01,24,5,6,62
2024-06-01,24,5,6,63
2024-07-01,25,5,6,71
2024-08-01,26,6,7,65
2024-09-01,29,6,7,65
2024-10-01,28,6,7,83
2024-11-01,28,5,7,88
2024-12-01,26,5,6,86
