Date,Total Revenue,Gross Profit,Net Income,Company,Ticker
2025-12-31,94827000000.0,17094000000.0,3794000000.0,Tesla,TSLA
2024-12-31,97690000000.0,17450000000.0,7130000000.0,Tesla,TSLA
2023-12-31,96773000000.0,17660000000.0,14999000000.0,Tesla,TSLA
2022-12-31,81462000000.0,20853000000.0,12583000000.0,Tesla,TSLA
2021-12-31,,,,Tesla,TSLA
2025-12-31,321913000000.0,51242000000.0,7323000000.0,Volkswagen,VWAGY
2024-12-31,324655000000.0,59471000000.0,11351000000.0,Volkswagen,VWAGY
2023-12-31,322284000000.0,60985000000.0,16532000000.0,Volkswagen,VWAGY
2022-12-31,279050000000.0,52184000000.0,15457000000.0,Volkswagen,VWAGY
2021-12-31,,,,Volkswagen,VWAGY
2025-12-31,803964958000.0,142659797000.0,32619022000.0,BYD,BYDDY
2024-12-31,777102455000.0,151055839000.0,40254346000.0,BYD,BYDDY
2023-12-31,602315354000.0,111916409000.0,30040811000.0,BYD,BYDDY
2022-12-31,424060635000.0,72244955000.0,16622448000.0,BYD,BYDDY
