Date,electric car,hybrid car,EV charging,Tesla
2018-01-01,10,3,1,34
2018-02-01,11,3,1,50
2018-03-01,10,3,1,36
2018-04-01,9,3,1,33
2018-05-01,9,2,1,33
2018-06-01,9,2,1,32
2018-07-01,11,2,1,30
2018-08-01,10,3,1,40
2018-09-01,13,3,1,39
2018-10-01,15,3,1,38
2018-11-01,12,2,1,29
2018-12-01,10,2,1,30
2019-01-01,13,4,1,33
2019-02-01,15,4,1,32
2019-03-01,14,4,1,48
2019-04-01,14,4,1,39
2019-05-01,16,4,1,46
2019-06-01,17,4,1,47
2019-07-01,19,4,1,47
2019-08-01,17,3,1,43
2019-09-01,16,4,1,45
2019-10-01,20,4,1,46
2019-11-01,18,3,1,79
2019-12-01,19,3,1,57
2020-01-01,23,5,2,66
2020-02-01,27,5,2,78
2020-03-01,15,3,1,52
2020-04-01,10,1,1,41
2020-05-01,14,2,1,52
2020-06-01,18,4,1,56
2020-07-01,19,4,2,77
2020-08-01,22,4,2,71
2020-09-01,21,5,2,100
2020-10-01,20,4,2,67
2020-11-01,25,3,2,68
2020-12-01,20,3,2,74
2021-01-01,22,4,2,90
2021-02-01,25,4,2,89
2021-03-01,25,4,2,88
2021-04-01,26,5,2,76
2021-05-01,28,5,3,77
2021-06-01,29,5,3,70
2021-07-01,32,5,3,62
2021-08-01,35,6,4,68
2021-09-01,38,5,4,64
2021-10-01,41,5,5,82
2021-11-01,41,5,5,92
2021-12-01,29,4,4,74
2022-01-01,36,6,5,89
2022-02-01,35,6,5,76
2022-03-01,49,7,6,90
2022-04-01,41,6,5,95
2022-05-01,33,5,4,80
2022-06-01,49,6,6,81
2022-07-01,38,6,6,70
2022-08-01,35,6,5,74
2022-09-01,32,5,5,61
2022-10-01,29,5,5,66
2022-11-01,30,4,5,64
2022-12-01,26,4,5,78
2023-01-01,30,6,5,88
2023-02-01,26,5,5,75
2023-03-01,28,5,5,70
2023-04-01,26,5,6,70
2023-05-01,25,5,5,65
2023-06-01,27,5,6,72
2023-07-01,28,5,6,74
2023-08-01,28,5,6,65
2023-09-01,30,6,6,66
2023-10-01,30,6,7,62
2023-11-01,25,5,6,63
2023-12-01,26,5,6,68
2024-01-01,28,5,6,70
2024-02-01,28,6,7,67
2024-03-01,27,6,7,67
2024-04-01,25,5,6,76
2024-05-01,25,5,6,63
2024-06-01,24,5,7,62
2024-07-01,25,5,7,68
2024-08-01,27,5,7,64
2024-09-01,29,6,7,67
2024-10-01,28,6,6,85
2024-11-01,30,5,7,89
2024-12-01,26,5,7,87
